#h	k	l			DE/EP	Eback-scattering (eV)					
-3	-5	5	59		5.88147880595211E-06	8416.8436947176
-3	-5	-5	59		5.88147880595211E-06	8416.8436947176
3	7	1	59		5.88147880595211E-06	8416.8436947176
3	7	-1	59		5.88147880595211E-06	8416.8436947176
3	-7	1	59		5.88147880595211E-06	8416.8436947176
3	-7	-1	59		5.88147880595211E-06	8416.8436947176
-3	7	1	59		5.88147880595211E-06	8416.8436947176
-3	7	-1	59		5.88147880595211E-06	8416.8436947176
-3	-7	1	59		5.88147880595211E-06	8416.8436947176
-3	-7	-1	59		5.88147880595211E-06	8416.8436947176
5	3	5	59		5.88147880595211E-06	8416.8436947176
5	3	-5	59		5.88147880595211E-06	8416.8436947176
5	-3	5	59		5.88147880595211E-06	8416.8436947176
5	-3	-5	59		5.88147880595211E-06	8416.8436947176
-5	3	5	59		5.88147880595211E-06	8416.8436947176
-5	3	-5	59		5.88147880595211E-06	8416.8436947176
-5	-3	5	59		5.88147880595211E-06	8416.8436947176
-5	-3	-5	59		5.88147880595211E-06	8416.8436947176
5	5	3	59		5.88147880595211E-06	8416.8436947176
5	5	-3	59		5.88147880595211E-06	8416.8436947176
5	-5	3	59		5.88147880595211E-06	8416.8436947176
5	-5	-3	59		5.88147880595211E-06	8416.8436947176
-5	5	3	59		5.88147880595211E-06	8416.8436947176
-5	5	-3	59		5.88147880595211E-06	8416.8436947176
-5	-5	3	59		5.88147880595211E-06	8416.8436947176
-5	-5	-3	59		5.88147880595211E-06	8416.8436947176
7	1	3	59		5.88147880595211E-06	8416.8436947176
7	1	-3	59		5.88147880595211E-06	8416.8436947176
7	-1	3	59		5.88147880595211E-06	8416.8436947176
7	-1	-3	59		5.88147880595211E-06	8416.8436947176
-7	1	3	59		5.88147880595211E-06	8416.8436947176
-7	1	-3	59		5.88147880595211E-06	8416.8436947176
-7	-1	3	59		5.88147880595211E-06	8416.8436947176
-7	-1	-3	59		5.88147880595211E-06	8416.8436947176
7	3	1	59		5.88147880595211E-06	8416.8436947176
7	3	-1	59		5.88147880595211E-06	8416.8436947176
7	-3	1	59		5.88147880595211E-06	8416.8436947176
7	-3	-1	59		5.88147880595211E-06	8416.8436947176
-7	3	1	59		5.88147880595211E-06	8416.8436947176
-7	3	-1	59		5.88147880595211E-06	8416.8436947176
-7	-3	1	59		5.88147880595211E-06	8416.8436947176
-7	-3	-1	59		5.88147880595211E-06	8416.8436947176
0	0	8	64		7.10732006988154E-06	8766.2377160888
0	0	-8	64		7.10732006988154E-06	8766.2377160888
0	8	0	64		7.10732006988154E-06	8766.2377160888
0	-8	0	64		7.10732006988154E-06	8766.2377160888
8	0	0	64		7.10732006988154E-06	8766.2377160888
-8	0	0	64		7.10732006988154E-06	8766.2377160888
3	3	7	67		4.64950498326028E-06	8969.343523535
3	3	-7	67		4.64950498326028E-06	8969.343523535
3	-3	7	67		4.64950498326028E-06	8969.343523535
3	-3	-7	67		4.64950498326028E-06	8969.343523535
-3	3	7	67		4.64950498326028E-06	8969.343523535
-3	3	-7	67		4.64950498326028E-06	8969.343523535
-3	-3	7	67		4.64950498326028E-06	8969.343523535
-3	-3	-7	67		4.64950498326028E-06	8969.343523535
3	7	3	67		4.64950498326028E-06	8969.343523535
3	7	-3	67		4.64950498326028E-06	8969.343523535
3	-7	3	67		4.64950498326028E-06	8969.343523535
3	-7	-3	67		4.64950498326028E-06	8969.343523535
-3	7	3	67		4.64950498326028E-06	8969.343523535
-3	7	-3	67		4.64950498326028E-06	8969.343523535
-3	-7	3	67		4.64950498326028E-06	8969.343523535
-3	-7	-3	67		4.64950498326028E-06	8969.343523535
7	3	3	67		4.64950498326028E-06	8969.343523535
7	3	-3	67		4.64950498326028E-06	8969.343523535
7	-3	3	67		4.64950498326028E-06	8969.343523535
7	-3	-3	67		4.64950498326028E-06	8969.343523535
-7	3	3	67		4.64950498326028E-06	8969.343523535
-7	3	-3	67		4.64950498326028E-06	8969.343523535
-7	-3	3	67		4.64950498326028E-06	8969.343523535
