# h	k	l			DE/EP	Eback-scattering (eV)					
2	6	0	40		6.69056455985263E-06	7219.2235326353
2	-6	0	40		6.69056455985263E-06	7219.2235326353
-2	6	0	40		6.69056455985263E-06	7219.2235326353
-2	-6	0	40		6.69056455985263E-06	7219.2235326353
6	0	2	40		6.69056455985263E-06	7219.2235326353
6	0	-2	40		6.69056455985263E-06	7219.2235326353
-6	0	2	40		6.69056455985263E-06	7219.2235326353
-6	0	-2	40		6.69056455985263E-06	7219.2235326353
6	2	0	40		6.69056455985263E-06	7219.2235326353
6	-2	0	40		6.69056455985263E-06	7219.2235326353
-6	2	0	40		6.69056455985263E-06	7219.2235326353
-6	-2	0	40		6.69056455985263E-06	7219.2235326353
3	3	5	43		4.24853119792785E-06	7485.0502700528
3	3	-5	43		4.24853119792785E-06	7485.0502700528
3	-3	5	43		4.24853119792785E-06	7485.0502700528
3	-3	-5	43		4.24853119792785E-06	7485.0502700528
-3	3	5	43		4.24853119792785E-06	7485.0502700528
-3	3	-5	43		4.24853119792785E-06	7485.0502700528
-3	-3	5	43		4.24853119792785E-06	7485.0502700528
-3	-3	-5	43		4.24853119792785E-06	7485.0502700528
3	5	3	43		4.24853119792785E-06	7485.0502700528
3	5	-3	43		4.24853119792785E-06	7485.0502700528
3	-5	3	43		4.24853119792785E-06	7485.0502700528
3	-5	-3	43		4.24853119792785E-06	7485.0502700528
-3	5	3	43		4.24853119792785E-06	7485.0502700528
-3	5	-3	43		4.24853119792785E-06	7485.0502700528
-3	-5	3	43		4.24853119792785E-06	7485.0502700528
-3	-5	-3	43		4.24853119792785E-06	7485.0502700528
5	3	3	43		4.24853119792785E-06	7485.0502700528
5	3	-3	43		4.24853119792785E-06	7485.0502700528
5	-3	3	43		4.24853119792785E-06	7485.0502700528
5	-3	-3	43		4.24853119792785E-06	7485.0502700528
-5	3	3	43		4.24853119792785E-06	7485.0502700528
-5	3	-3	43		4.24853119792785E-06	7485.0502700528
-5	-3	3	43		4.24853119792785E-06	7485.0502700528
-5	-3	-3	43		4.24853119792785E-06	7485.0502700528
4	4	4	48		4.95691839167416E-06	7908.263152993
4	4	-4	48		4.95691839167416E-06	7908.263152993
4	-4	4	48		4.95691839167416E-06	7908.263152993
